id;Название;Реставрация;Размер;Автор;Школа;Регион;Город;Страна;Материал;Персоналии;датировка окладов;Уточняющая датировка;Век;Страна (хранение);Место хранения;Иконография;Тип изображения;Фрагменты
1322.0;Кирилл Новоезерский;FALSE;13,5 x 9 см;Феодот Феофанов Протопопов-Ухтомский;;;;;Дерево, темпера;спаситель, преподобный кирилл новоезерский;;1704;18.0;Россия;"Музей-заповедник ""Дмитровский кремль""";Святые;Ростовое;
1323.0;Кирилл Туровский, Гавриил Белостокский, Лаврентий Туровский;FALSE;22,4 х 18,1 см;;;московская область;москва;россия;Дерево, левкас, темпера, серебро, скань, камни, золочение;;;1901-1910;20.0;Россия;Частное собрание Игоря Возякова;Святые;Ростовое;
1324.0;Кирилл Челмогорский;FALSE;;;;;;;Дерево, темпера;спаситель, преп. кирилл челмогорский;;;19.0;Россия;"Государственное музейное объединение ""Художественная культура Русского Севера"", Архангельск";Святые;Ростовое;
1325.0;Кирилл и Афанасий Александрийские, Игнатий Богоносец ( на обороте - Богоявление );FALSE;24 х 19 см;;;новгородская область;новгород;россия;Холст, темпера;святитель афанасий александрийский, святитель кирилл александрийский, священномученик игнатий богоносец;;1491-1500;15.0;Россия;Новгородский государственный объединенный музей-заповедник;Святые;Ростовое;
1326.0;Кирилл и Афанасий Александрийские, Леонтий Ростовский;FALSE;147 х 107 см;;;новгородская область;новгород;россия;Дерево, темпера;святители афанасий александрийский, кирилл александрийский, святитель леонтий ростовский;;1491-1500;15.0;Россия;Новгородский государственный объединенный музей-заповедник;Святые;Ростовое;Афанасий Александрийский
1327.0;Кирилл и Мефодий;FALSE;13 х 10 см;;;;;;Эмаль, медь, роспись, наполнитель;равноапостольный святитель кирилл, равноапостольный святитель мефодий;;1851-1900;19.0;Россия;Государственный Эрмитаж, Санкт-Петербург;Святые;Ростовое;
1328.0;Кирилл и Мефодий;FALSE;83 х 61 х 3,7;;;;;;Дерево, темпера;равноапостольный святитель кирилл, равноапостольный святитель мефодий;;1897;19.0;Болгария;Мельник, Болгария;Святые;Ростовое;
1329.0;Климент, папа Римский и Петр Александрийский;FALSE;214 х 106 см;Федот Лукич Колокольников;;;;;Дерево, масло;священномученик климент, папа римский, священномученик петр александрийский;;1755-1760;18.0;Россия;Санкт-Петербургская епархия;Святые;Ростовое;
1330.0;Климент, папа Римский;TRUE;136 х 105 см;;;;;;Дерево, темпера;священномученик климент, папа римский;;1601-1650;17.0;Россия;Пермская государственная художественная галерея;Святые;Многофигурное;
1331.0;Климент, папа Римский, в житии;FALSE;142 х 111 см;;;архангельская область;;россия;Дерево, темпера;климент, папа римский;;1540-1560;16.0;Россия;"Государственное музейное объединение ""Художественная культура Русского Севера"", Архангельск";Святые;Ростовое с клеймами;Обретение на дне моря нерукотворной «ангельской церкви» и нетленного тела св. Климента
1332.0;Конон Градарь;FALSE;71,5 х 59,5 см;;;юго-западные земли;;;Дерево, левкас, темпера;;;1834-1866;19.0;Россия;Частное собрание Игоря Возякова;Святые;Ростовое;
1333.0;Константин и Елена;FALSE;60,5 х 52,5 см;;;ярославская область;ростов великий;россия;Дерево, темпера;равноапостольный царь константин, равноапостольная царица елена;;1551-1600;16.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Святые;Ростовое;
1334.0;Константин и Елена;FALSE;30 х 25,2 см;Мастерская Пешехоновых;;;;;;;;1801-1850;19.0;Россия;Частное собрание Игоря Возякова;Святые;Ростовое;
1335.0;Константин и Елена;FALSE;111 х 69 х 3;;;;;;Дерево, темпера;равноапостольный царь константин, равноапостольная царица елена;;1662;17.0;Болгария;Мельник, Болгария;Святые;Ростовое;
1336.0;Константин и Елена;TRUE;67 х 52 см;;;;;;Дерево, темпера;равноапостольный царь константин, равноапостольная царица елена;;1540-1560;16.0;Россия;"Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник ""Коломенское""";Святые;Многофигурное;Константин и Елена
1337.0;Константин и Елена;FALSE;;;;;;;Дерево, темпера;равноапостольный царь константин, равноапостольная царица елена;;;17.0;Греция;Византийский и христианский музей, Афины;Святые;Ростовое;
1338.0;Константин и сыновья его Михаил и Феодор Муромские;FALSE;;;;;;;Дерево, темпера;благоверный князь константин, благоверный князь михаил, благоверный князь феодор;;;17.0;Россия;;Святые;Ростовое с клеймами;Константин благоверный князь, Михаил благоверный князь, Феодор благоверный князь
1339.0;Константин равноапостольный;TRUE;31 х 21,2 см;;;;;;Дерево, темпера;равноапостольный царь константин;;1600;17.0;Греция;Государственный Исторический музей, Москва;Святые;Оглавное или оплечное;
1340.0;Косма и Дамиан;TRUE;25,2 х 20,6 см;;;афон;;;Дерево, темпера;мученик косма, мученик дамиан;;1451-1500;15.0;Византия;Государственная Третьяковская галерея, Москва;Святые;Ростовое;
1341.0;Косма и Дамиан;TRUE;40 х 32 см;;;;;македония;Дерево, темпера;мученик косма, мученик дамиан;;1501-1550;16.0;Македония;Государственная Третьяковская галерея, Москва;Святые;Ростовое;
1342.0;Косма и Дамиан;TRUE;108,5 х 80 см;;;московская область;дмитров;;Дерево, темпера;мученик косма, мученик дамиан;;1501-1533;16.0;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Святые;Ростовое;Дамиан, Косма
1343.0;Косма и Дамиан;FALSE;;Рязань;;;;;Дерево, темпера;мученик косма, мученик дамиан;;;16.0;Россия;Рязанский государственный историко-архитектурный музей-заповедник;Святые;Ростовое;
