статус;id;персоналии_файл1;персоналии_файл2;добавлено;удалено
изменено;2980.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2981.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2982.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2983.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы, пророк исайя;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы, пророк исаия;праведный иосиф обручник, пророк исаия;праведный иосиф, пророк исайя
изменено;2984.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2985.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2986.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2987.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2988.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2989.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
